"","sample","STRAIN_GROUP_ANIb"
"H005_102","H005_102",1
"H005_118_hybrid","H005_118_hybrid",2
"H005_137","H005_137",2
"H005_73_hybrid","H005_73_hybrid",3
"H005_75","H005_75",3
"H005_77","H005_77",3
"H005_94","H005_94",1
"H005_97","H005_97",3
"H005_98_hybrid","H005_98_hybrid",1
"H007_145","H007_145",2
"H007_146","H007_146",2
"H007_148","H007_148",2
"H007_154","H007_154",2
"H007_156","H007_156",2
"H007_157","H007_157",2
"H007_158","H007_158",2
"H007_162","H007_162",2
"H007_172","H007_172",2
"H007_181","H007_181",2
"H007_183","H007_183",2
"H007_187","H007_187",2
"H007_188","H007_188",2
"H007_190","H007_190",2
"H007_194","H007_194",2
"H009_202","H009_202",2
"H009_205","H009_205",2
"H009_211","H009_211",2
"H009_213","H009_213",4
"H009_215","H009_215",4
"H009_217","H009_217",2
"H009_218","H009_218",4
"H009_219","H009_219",2
"H009_220","H009_220",4
"H009_221_hybrid","H009_221_hybrid",4
"H009_228","H009_228",2
"H009_230","H009_230",2
"H009_234","H009_234",2
"H009_236","H009_236",2
"H009_251","H009_251",2
"H009_255","H009_255",2
"H009_259","H009_259",2
"H005_126","H005_126",1
"H009_256","H009_256",2
