sampleID	subjectID	days_from_first_collection
MA001	A	0
MA002	A	14
MA003	A	27
MA004	A	43
MA005	A	61
MA006	A	72
MA007	A	84
MA008	A	98
MA009	A	112
MA010	A	126
MA011	A	140
MA012	A	154
MA013	A	13
MB001	B	0
MB002	B	26
MB003	B	43
MB004	B	55
MB005	B	69
MB006	B	83
MB007	B	102
MB008	B	111
MB009	B	125
MB010	B	140
MB011	B	153
MB012	B	167
MC001	C	0
MC002	C	14
MC003	C	28
MC004	C	49
MC005	C	57
MC006	C	70
MC007	C	84
MC008	C	99
MC009	C	112
MC010	C	126
MC011	C	140
MC012	C	155
MC013	C	49
MD001	D	0
MD002	D	43
MD003	D	60
MD004	D	69
MD005	D	92
MD006	D	107
MD007	D	121
MD008	D	135
MD009	D	149
MD010	D	164
MD011	D	184
MD012	D	191
MD013	D	23
MD014	D	76
ME001	E	0
ME002	E	14
ME003	E	28
ME004	E	42
ME005	E	61
ME006	E	72
ME007	E	85
ME008	E	101
ME009	E	112
ME010	E	126
ME011	E	140
ME012	E	154
ME013	E	108
ME014	E	119
MF001	F	0
MF002	F	14
MF003	F	28
MF004	F	42
MF005	F	56
MF006	F	71
MF007	F	84
MF008	F	98
MF009	F	126
MF010	F	147
MF011	F	154
MF012	F	168
MG001	G	0
MG002	G	14
MG003	G	29
MG004	G	42
MG005	G	58
MG006	G	70
MG007	G	84
MG008	G	100
MG009	G	112
MG010	G	126
MG011	G	141
MG012	G	169
MG013	G	155
MH001	H	0
MH002	H	15
MH003	H	30
MH004	H	57
MH005	H	61
MH006	H	71
MH007	H	84
MH008	H	98
MH009	H	113
MH010	H	126
MH011	H	142
MH012	H	152
MH013	H	75
MI001	I	0
MI002	I	13
MI003	I	28
MI004	I	42
MI005	I	56
MI006	I	70
MI007	I	84
MI008	I	98
MI009	I	112
MI010	I	125
MI011	I	140
MI012	I	154
MNC	NA	NA
SA001	A	0
SA002	A	14
SA003	A	27
SA004	A	43
SA005	A	61
SA006	A	72
SA007	A	84
SA008	A	98
SA009	A	112
SA010	A	126
SA011	A	140
SA012	A	154
SA013	A	13
SB001	B	0
SB002	B	26
SB003	B	43
SB004	B	55
SB005	B	69
SB006	B	83
SB007	B	102
SB008	B	111
SB009	B	125
SB010	B	140
SB011	B	153
SB012	B	167
SC001	C	0
SC002	C	14
SC003	C	28
SC004	C	49
SC005	C	57
SC006	C	70
SC007	C	84
SC008	C	99
SC009	C	112
SC010	C	126
SC011	C	140
SC012	C	155
SC013	C	49
SD001	D	0
SD002	D	43
SD003	D	60
SD004	D	69
SD005	D	92
SD006	D	107
SD007	D	121
SD008	D	135
SD009	D	149
SD010	D	164
SD011	D	184
SD012	D	191
SD013	D	23
SD014	D	76
SE001	E	0
SE002	E	14
SE003	E	28
SE004	E	42
SE005	E	61
SE006	E	72
SE007	E	85
SE008	E	101
SE009	E	112
SE010	E	126
SE011	E	140
SE012	E	154
SE013	E	108
SE014	E	119
SF001	F	0
SF002	F	14
SF003	F	28
SF004	F	42
SF005	F	56
SF006	F	71
SF007	F	84
SF008	F	98
SF009	F	126
SF010	F	147
SF011	F	154
SF012	F	168
SG001	G	0
SG002	G	14
SG003	G	29
SG004	G	42
SG005	G	58
SG006	G	70
SG007	G	84
SG008	G	100
SG009	G	112
SG010	G	126
SG011	G	141
SG012	G	169
SG013	G	155
SH001	H	0
SH002	H	15
SH003	H	30
SH004	H	57
SH005	H	61
SH006	H	71
SH007	H	84
SH008	H	98
SH009	H	113
SH010	H	126
SH011	H	142
SH012	H	152
SH013	H	75
SI001	I	0
SI002	I	13
SI003	I	28
SI004	I	42
SI005	I	56
SI006	I	70
SI007	I	84
SI008	I	98
SI009	I	112
SI010	I	125
SI011	I	140
SI012	I	154
SNC	NA	NA
